Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,Q14_ESP_type,ESPcount,Q14_KremenNotes,biotic_driver_present,biotic_drivers,Q18_SurveyNotes,Round1_Comments,Q14_qa_note
Stable nitrogen and carbon isotope ratios in wild native honeybees: the influence of land use and climate,Taki,BIODIVERSITY AND CONSERVATION,2017,TK,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,FALSE,,,,
Conservation tillage mitigates the negative effect of landscape simplification on biological control,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016,LB,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17); abundance of carabid beetles; abundance of cursorial spiders; abundance of vegetation-dwelling predators,,,
Pollination benefits are maximized at intermediate nutrient levels,Tamburini,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017,TK/KCG,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Tarszisz,CONSERVATION PHYSIOLOGY,2018,JL/TK,TRUE,final,"Single species  [e.g. ESPs, single species]",1,JL: note that female orangutans dispersed seeds over a larger area than males,TRUE,Service Provider (Q17),,,
Mapping social-ecological vulnerability to inform local decision making,Thiault,CONSERVATION BIOLOGY,2018,CW,FALSE,final,"Across species  [e.g. community structure, diversity]",1,Authors write they use fish count data but don't provide details on how many spp,TRUE,Service Provider (Q17),"Paper talks about feedbacks but doesn't measure them directly. The way Q12 is structured doesn't seem well suited to capture studies like this one that provide wall-to-wall maps of ES's/resilience/vulnerability. Because it's a spatial study, it inherently addresses scale, but it's also tricky to answer Q9 for this (e.g. there are no ""plots""). Ecological vulnerability and social vulnerability are not correlated in the same way consistently across space. The authors use indices for all three response variables of interest (socio-ecological vulnerability, ecol. vulnerability, and social vulnerability) with multiple factors underlying those indices. Ecological resilience index is based on a normalized ""intrinsic vulnerability to fishing index"" [from another model] and fish assemblage data; socio indices based on 11 indicator that they lumped into 5 components (spatial mobility, materials assets, occupational mobility, attachment, and education). All response indices are on a 0 to 1 (low to high) scale. A reader would have to dig into the supplemental material and references to fully understand how and which data are used, how models work, etc.",,
Late flowering time enhances insect pollination of turnip rape,Toivonen,JOURNAL OF APPLIED ECOLOGY,2019,TM,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Density of honeybee hives,,,
The spatial organization of ecosystem services in river-floodplains,Tomscha,ECOSPHERE,2017,CK,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,,,
"Urban form, biodiversity potential and ecosystem services",Tratalos,LANDSCAPE AND URBAN PLANNING,2007,AK,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,"I wasn't sure if urban form should go under land use change, population growth or other. They looked at population density",,
Effects of habitat loss on the plant-flower visitor network structure of a dune community,Traveset,OIKOS,2018,SDJ,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Among species [e.g., species interactions]",2,"because they used networks, I did ""species interactions"".",FALSE,,,,
Balancing yield with resilience and conservation objectives in harvested predator-prey communities,Tromeur,OIKOS,2017,KCG,FALSE,final,,0,,TRUE,Service Provider (Q17); Predator of prey (yield item),,,
Riparian buffer growth and soil nitrate supply are affected by tree species selection and black plastic mulching,Truax,ECOLOGICAL ENGINEERING,2017,CK,FALSE,final,,0,,FALSE,,,,
"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Truchy,LANDSCAPE ECOLOGY,2019,CW,FALSE,final,"Within species   [e.g. genetic diversity],Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",3,"7 different service provider metrics used as explanatory factors: biomass of primary producers in algal biofilms, decomposition of terrestrial detritus by decomposer assemblage, decomposition by microbial decomposers only, biomass accrual of aquatic fungi in presence of invertebrate detritivores, biomass accrual of aquatic fungi in absence of invertebrate detritivores, biomass accrual of aquatic bryophyte, fine particular organic matter decomposition. Also sampled benthic diatoms, macrophytes, benthic invertebrates, and fish from each location, and used phenological trait data for fish and invertebrates, and measured body length of shredders.. so they got at multiple levels of ESPs, across trophic levels..",TRUE,Service Provider (Q17),"Variance partitioning paper.. hard to map that on to Q12. There was no direction of effects. Paper reported how much variability each explanatory component accounted for in the data, both within region, and jointly across regions. Notes on physio-chemical environmental variables used (copied verbatim from Appendix 1 in the supplement): Physical (including slope, water depth, stream width, temperature and flow) and chemical (alkalinity, pH, conductivity, TOC, turbidity, nutrients and oxygen saturation, among others) characteristics, measured at the sampling location (local scale; in blue) or at the catchment scales (regional scale; in black) are reported1. The Dundee Hydrological Regime Assessment Method (DHRAM, (Black et al. 2005)) generated 19 parameters characterising the extent of alterations to the hydrological regimes",,
"Perennial, species-rich wildflower strips enhance pest control and crop yield",Tschumi,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,LD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,see table 2,TRUE,cereal leaf beetle density; flower density; broadleaved cover; flower species richness; wildflower strip width (m),,,
Predation-mediated ecosystem services and disservices in agricultural landscapes,Tschumi,ECOLOGICAL APPLICATIONS,2018,CK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
Belowground response of prairie restoration and resiliency to drought,Upton,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2018,TK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,FALSE,,,,
Influence of land use on water quality in a tropical landscape: a multi-scale analysis,Uriarte,LANDSCAPE ECOLOGY,2011,AK,FALSE,final,,0,just measured water quality metrics and land cover surrounding stream sites,FALSE,,effects of land use on response variables varied depending on the land use type and metric. They also looked at fecal waste but didn't have space to include it in the table (also mixed relationships),"Water filtration and land use cover, spatial heterogeneity.",
New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula,Vila-Cabrera,ECOSYSTEMS,2017,TM,FALSE,final,,0,,TRUE,Forest type,,,
Intra- and interspecific differences in nutrient recycling by European freshwater fish,Villeger,FRESHWATER BIOLOGY,2012,CK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),,fish nutrient recycling as a function,
"Influence of Groundcover Vegetation, Soil Physicochemical Properties, and Irrigation Practices on Soil Fungi in Semi-arid Vineyards",Vukicevich,FRONTIERS IN ECOLOGY AND EVOLUTION,2019,CW,FALSE,final,"Across species  [e.g. community structure, diversity]",1,"Looked at effects of plant functional type, life history, nativity, and mycorrhizal status on abundances of two fungi groups of interest",TRUE,Service Provider (Q17),"Authors also looked at effects of time on fungal abundances but nowhere to record that. Results truly are mixed. For example, beneficial fungi abundance increases with time (within grasses and legumes), soil organic matter, is negatively affected by exotic plant cover. Pathogen fungi abundance negatively affected by grass cover.","relationship between plant community functional characteristics, soil factors, and irrigation management and soil fungus abundance in vineyards",
Flood Water Hydrochemistry Patterns Suggest Floodplain Sink Function for Dissolved Solids from the Songkhram Monsoon River (Thailand),Walalite,WETLANDS,2016,IS,FALSE,final,,0,,FALSE,,,,
Global warming affects the occurrence of stem borers in ecological engineering-based diversified farming ecosystems,Wan,ECOLOGICAL ENGINEERING,2017,AIS,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,The study measures abundance of two rice paddy borers that do ecosystem disservices,FALSE,,,"CTW re-evaluated article for Q8; LD: a bit unclear what was measured, maybe a disservice?",
Evaluating the eco-environment benefit of land reclamation in the dump of an opencast coal mine,Wang,CHEMISTRY AND ECOLOGY,2017,GV,FALSE,final,Only land cover or habitat type as proxy,1,Only calculated services from land cover type.,FALSE,,"Looked at overall benefit/value ($) over time given land use change, did not look specifically at each service individually.","Questionable.. it leans towards a valuation paper, but appears to make some attempt to link ES to land use changes",
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China",Wei,ECOSYSTEM SERVICES,2018,TM,FALSE,final,,0,,TRUE,Service Provider (Q17),,,
Evaluating management strategies to optimise coral reef ecosystem services,Weijerman,JOURNAL OF APPLIED ECOLOGY,2018,KCG,FALSE,final,,0,,FALSE,,,,
Local and broadscale landscape structure differentially impact predation of two potato pests,Werling,ECOLOGICAL APPLICATIONS,2010,LB,FALSE,final,,0,,FALSE,,,,
Routes to achieving sustainable intensification in simulated dairy farms: The importance of production efficiency and complimentary land uses,White,JOURNAL OF APPLIED ECOLOGY,2019,SDJ,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,,
Machine learning for ecosystem services,Willcock,ECOSYSTEM SERVICES,2018,AIS,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,,"the paper focuses on machine learning but provides two case studies of ecosystem services, so may still be appropriate",
Reconciling opposing soil processes in row-crop agroecosystems via soil functional zone management,Williams,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,AK,FALSE,final,,0,,FALSE,,I wasn't sure if type of tillage should be it's own driver or if it falls into Land use change or management so I selected all three. I also wasn't sure how to answer Q14 about Kremen topics because it measures function but not necessarily community structure.,,
"Ecosystem services assessment of the urban forests of Addis Ababa, Ethiopia",Woldegerima,URBAN ECOSYSTEMS,2017,JL,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),,,
Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Wong,LANDSCAPE ECOLOGY,2018,LD/TK,TRUE,final,Only land cover or habitat type as proxy,1,,FALSE,,"LD: *** FOR Q9 -- **** delete the unclear or not specified and 1-10 km2***     vector mosquito species considered: Aedes aegyptib Yellow fever mosquito Chikungunya, dengue fever, West Nile virus, yellow fever, Zika Aedes albopictusa,b,c Asian tiger mosquito Chikungunya, dengue fever, Japanese encephalitis, West Nile virus, yellow fever, etc. Aedes japonicusb Asian bush mosquito Chikungunya, dengue fever, Japanese encephalitis, St Louis encephalitis, West Nile virus Anopheles jeyporiensisc – Filariasis, malaria Anopheles maculatus – Malaria Anopheles minimusc – Malaria Anopheles sinensis – Filariasis, malaria Culex fuscocephala – Japanese encephalitis Culex gelidus – Japanese encephalitis, West Nile virus Culex quinquefasciatusc Southern house mosquito Filariasis, Japanese encephalitis, St Louis encephalitis, West Nile virus Culex tritaeniorhynchus",,LD says to use her answer for ESP type over TK answer because study was about effects of roof type (habitat for mosquito)
From intrinsic to service potential: An approach to assess tourism landscape potential,Wozniak,LANDSCAPE AND URBAN PLANNING,2018,SDJ,FALSE,final,,0,,,,I'd say this paper did not discuss drivers. The goal was to incorporate people's willingness to do tourist activities to calculations for the potential to do that activity across a whole landscape,,
Restoration of ecosystem carbon and nitrogen storage and microbial biomass after grazing exclusion in semi-arid grasslands of Inner Mongolia,Wu,ECOLOGICAL ENGINEERING,2014,LD,FALSE,final,Only land cover or habitat type as proxy,1,"hese results suggest that grazing exclusion has the potential to sequester C and N in soils, but short- term (6 years) grazing exclusion might result in a higher C and N sequestration potential in the upper soil depths as compared to deeper soils.",FALSE,,Didnt have major ecological components - focused on grazing effects on soil  C and N,,
Ecosystem multifunctionality is highly related to the shelterbelt structure and plant species diversity in mixed shelterbelts of eastern China,Xie,GLOBAL ECOLOGY AND CONSERVATION,2018,LB,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,"one species is focused on at each site, but each site features a different species",TRUE,Service Provider (Q17),,,
"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE",Zhang,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2019,NBD,FALSE,final,,0,,FALSE,,,"looks at water quality metrics, I think it should work!",
"Assessment of the erosion control function of forest ecosystems based on GIS: a case study in Zhangjiajie National Forest Park, China",Zhao,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,2009,CK,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Service Provider (Q17),,"Measuring erosion control, importance of forests to ecosystem services (like erosion control)",
Linking wind erosion to ecosystem services in drylands: a landscape ecological approach,Zhao,LANDSCAPE ECOLOGY,2017,TK,FALSE,final,,0,,FALSE,,,,
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China",Zhao,ECOLOGICAL ECONOMICS,2018,TM,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,,multifunctionality with watersheds,
Seed arrival and persistence at the tidal mudflat: identifying key processes for pioneer seedling establishment in salt marshes,Zhu,MARINE ECOLOGY PROGRESS SERIES,2014,CW,FALSE,final,,0,Worm had no effect on seed predation. Not described as an ESP so am not recording it as one.,TRUE,Single species polychaete (worm) that lives in sediment and eats seeds (not described as an service provider in the paper so didn't record it as one),"Strongest effects on seed abundance and persistence were distance from shore and month. They also looked at interactive effects of time and distance and found nothing. In this case, time and distance or what factors more than any other type of driver we have listed in Q12, although wave exposure varied by site and site mattered for the response variables (authors suggest because of wave exposure). I think the authors' intent with this study is to assess seed availability for habitat potential. They open their paper with ecosystem services of tidal marshes, and that habitat loss is an issue. They close with how what they've learned about seed persistence and availability can be applied for restoration of tidal marshes.. so I think it counts as ES-relevant enough for our study?",,
Social-ecological outcomes in recreational fisheries: the interaction of lakeshore development and stocking,Ziegler,ECOLOGICAL APPLICATIONS,2017,CW,FALSE,final,"Single species  [e.g. ESPs, single species]",1,Paper is focused on services (recreational) provided by walleye,FALSE,,"Talk about development threshold in discussion, under which wild populations can sustain without stocking, but authors don't evaluate this threshold level. Negative (and nonlinear) relationship between lakeshore development and density/survivorship with juvenile and adult fish, positive (nonlinear, asymptotes) relationship between lakeshore development and probability of stocking. Checked ""population growth"" in Q12 because seemed close enough to lakeshore development. The point of this paper is that increased lakeshore development creates dependence on DNR fish stocking to support recreational ES of system (wild fish in lake have lower survival rate). Paper also related lakeshore development to cost and profits the state takes in, but did not record that in Q12 as it's more social-science than ecology (but this paper aims to do full socio-economic assessment).",Attempts to link human driver (lakeshore development) to fisheries ES,
Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Zorrilla-Miras,LANDSCAPE AND URBAN PLANNING,2014,AK,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,"Didn't actually MEASURE services, but had expert panel weigh in on whether ES were improving or not based on land use change.",,
Environmental Conservation and Social Benefits of Charcoal Production in Mozambique,Zorrilla-Miras,ECOLOGICAL ECONOMICS,2018,AK,FALSE,final,,0,,FALSE,,This paper was confusing...The response variables I listed were also drivers of change in well-being,,
