EBIOReviewer,Number,AuthorsFull,Title,SourcePublication,Abstract,PublicationDate,PublicationYear,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
Laurel,1424,"Rodriguez, Ricardo A.; Delgado, Juan D.; Ma Herrera, Ada; Riera, Rodrigo; Ma Navarro, Rafael; Melian, Carlos; Dieguez, Lorenzo; Quiros, Angel",Effects of two traits of the ecological state equation on our understanding of species coexistence and ecosystem services,ECOLOGICAL MODELLING,"Species coexistence has been a fundamental issue to understand ecosystem functioning since the beginnings of ecology as a science. The search of a reliable and all-encompassing explanation for this issue has become a complex goal with several apparently opposing trends. On the other side, seemingly unconnected with species coexistence, an ecological state equation based on the inverse correlation between an indicator of dispersal that fits gamma distribution and species diversity has been recently developed. This article explores two factors, whose effects are inconspicuous in such an equation at the first sight, that are used to develop an alternative general theoretical background in order to provide a better understanding of species coexistence. Our main outcomes are: (i) the fit of dispersal and diversity values to gamma distribution is an important factor that promotes species coexistence mainly due to the right-skewed character of gamma distribution; (ii) the opposite correlation between species diversity and dispersal implies that any increase of diversity is equivalent to a route of ""ecological cooling"" whose maximum limit should be constrained by the influence of the third law of thermodynamics; this is in agreement with the well-known asymptotic trend of diversity values in space and time; (iii) there are plausible empirical and theoretical ways to apply physical principles to explain important ecological processes; (iv) the gap between theoretical and empirical ecology in those cases where species diversity is paradoxically high could be narrowed by a wave model of species coexistence based on the concurrency of local equilibrium states. In such a model, competitive exclusion has a limited but indispensable role in harmonious coexistence with functional redundancy. We analyze several literature references as well as ecological and evolutionary examples that support our approach, reinforcing the meaning equivalence between important physical and ecological principles. (C) 2013 Elsevier B.V. All rights reserved.",10-sep,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1425,"Duncan, David H.; Vesk, Peter A.",Examining change over time in habitat attributes using Bayesian reinterpretation of categorical assessments,ECOLOGICAL APPLICATIONS,"Prospects for evaluating effects of vegetation restoration have long been limited by availability of appropriately sensitive baseline data. Data that are typically collected to justify investment in restoration are rarely suitable for estimating subsequent change over time, but given how commonly such data are collected, can they contribute something to learning about ecological change over time? We compared vegetation and habitat data from a quantitative reassessment of 25 habitat restoration sites seven years after they were initially assessed using a semiquantitative, categorical scoring system. Our aim was to estimate the change at sites between the first, semiquantitative survey and a second, quantitative survey. We treated the initial values as effectively unknown and used Bayesian models to infer plausible values using three different informative prior distributions, variously comprising the initial site assessments and modeled values from a statewide data set. We successfully constructed models of change over time between the two surveys, and regardless of which prior model was implemented, our data analysis suggested that cover of exotic species was reduced, but canopy cover, the cover of organic litter, and the length of fallen logs were all increased after the seven-year period. A small increase in the mean number of large-diameter trees was likely due to initial measurement error. Site fertility and canopy cover were important covariates in explaining the magnitude of change in total log length. Sites with higher canopy cover decreased more in weed cover and increased more in litter cover. Our approach could be used to retrospectively analyze any ordinal data set where there is a scoring logic that can be interpreted quantitatively. Data sets where treatment contrasts and untreated controls exist will be particularly valuable for testing the utility of our approach. While this novel approach should prove a useful analytical complement to genuine longitudinal monitoring and space-for-time surveys, it is no substitute for initiation of learning about management effectiveness using data from purposefully designed and measured surveys.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1426,"Morris, E. Kathryn; Buscot, Francois; Herbst, Christine; Meiners, Torsten; Obermaier, Elisabeth; Waeschke, Nicole W.; Wubet, Tesfaye; Rillig, Matthias C.",Land use and host neighbor identity effects on arbuscular mycorrhizal fungal community composition in focal plant rhizosphere,BIODIVERSITY AND CONSERVATION,"Arbuscular mycorrhizal fungi (AMF) provide a number of ecosystem services as important members of the soil microbial community. Increasing evidence suggests AMF diversity is at least partially controlled by the identities of plants in the host plant neighborhood. However, much of this evidence comes from greenhouse studies or work in invaded systems dominated by single plant species, and has not been tested in species-rich grasslands. We worked in 67 grasslands spread across the three German Biodiversity Exploratories that are managed primarily as pastures and meadows, and collected data on AMF colonization, AMF richness, AMF community composition, plant diversity, and land use around focal Plantago lanceolata plants. We analyzed the data collected within each Exploratory (ALB Schwabische Alb, HAI Hainich-Dun, SCH Schorfheide-Chorin) separately, and used variance partitioning to quantify the contribution of land use, host plant neighborhood, and spatial arrangement to the effect on AMF community composition. We performed canonical correspondence analysis to quantify the effect of each factor independently by removing the variation explained by the other factors. AMF colonization declined with increasing land use intensity (LUI) along with concurrent increases in non-AMF, suggesting that the ability of AMF to provide protection from pathogens declined under high LUI. In ALB and HAI mowing frequency and percent cover of additional P. lanceolata in the host plant neighborhood were important for AMF community composition. The similar proportional contribution of land use and host neighborhood to AMF community composition in a focal plant rhizosphere suggests that the diversity of this important group of soil microbes is similarly sensitive to changes at large and small scales.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1427,"McConnachie, Matthew M.; Cowling, Richard M.; Shackleton, Charlie M.; Knight, Andrew T.","The Challenges of Alleviating Poverty through Ecological Restoration: Insights from South Africa's ""Working for Water"" Program",RESTORATION ECOLOGY,"Public works programs have been posited as win-win solutions for achieving societal goals for ecological restoration and poverty alleviation. However, little is documented regarding the challenges of implementing such projects. A commonly cited example is South Africa's invasive alien plant control program Working for Water (WfW), which aims to create employment via restoring landscapes invaded with alien plants. Recent studies have raised questions over the effectiveness of this program in achieving both its restoration and poverty alleviation goals. This is the first study that we are aware of that synthesizes the knowledge of managers on both the poverty alleviation and environmental outcomes of a public works project. Herein, we sought to understand the challenges and constraints faced by 23 WfW managers in fulfilling the program's environmental and poverty alleviation objectives. We found that the challenges most frequently cited by managers related to the capacity and competence of managers and teams, followed by challenges relating to planning and coordination, specifically the challenges of being flexible and adaptive when constrained by operating procedures. In addition, the current focus on maximizing short-term employment was perceived by some as limiting the efficiency and long-term effectiveness of the WfW program in achieving its environmental and social goals. We suggest that improving the conditions and duration of employment could improve the effectiveness of invasive alien plant control and ecological outcomes. We also suggest that WfW measure the impacts of their interventions through an adaptive management approach so that it can learn and adapt to the challenges it faces.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1428,"Bonnot, Thomas W.; Thompson, Frank R., III; Millspaugh, Joshua J.; Jones-Farrand, D. Todd",Landscape-based population viability models demonstrate importance of strategic conservation planning for birds,BIOLOGICAL CONSERVATION,"Efforts to conserve regional biodiversity in the face of global climate change, habitat loss and fragmentation will depend on approaches that consider population processes at multiple scales. By combining habitat and demographic modeling, landscape-based population viability models effectively relate small-scale habitat and landscape patterns to regional population viability. We demonstrate the power of landscape-based population viability models to inform conservation planning by using these models to evaluate responses of prairie warbler (Dendroica discolor) and wood thrush (Hylocichla mustelina) populations in the Central Hardwoods Bird Conservation Region to simulated conservation scenarios. We assessed the relative effectiveness of habitat restoration, afforestation, and increased survival and differed placement and levels of effort for implementing those approaches. Population projections of the two species confirmed the potential for large-scale conservation to sustain regional populations. For example, abundances of prairie warblers and wood thrush tripled under afforestation and increased survival scenarios, respectively. Furthermore, responses to conservation actions were driven by interacting local and large-scale population processes such as source-sink interactions and dispersal. Relying on randomly placed habitat conservation was ineffective and potentially counterproductive whereas strategic placements resulted in greater populations and viability of prairie warbler and wood thrush. These models offer a valuable advance in conservation planning because they allow an understanding of the effects of local actions on regional growth, which is necessary for translating regional goals into local actions. (C) 2013 Elsevier Ltd. All rights reserved.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1429,"Villamagna, Amy M.; Angermeier, Paul L.; Bennett, Elena M.","Capacity, pressure, demand, and flow: A conceptual framework for analyzing ecosystem service provision and delivery",ECOLOGICAL COMPLEXITY,"Ecosystem services provide an instinctive way to understand the trade-offs associated with natural resource management. However, despite their apparent usefulness, several hurdles have prevented ecosystem services from becoming deeply embedded in environmental decision-making. Ecosystem service studies vary widely in focal services, geographic extent, and in methods for defining and measuring services. Dissent among scientists on basic terminology and approaches to evaluating ecosystem services create difficulties for those trying to incorporate ecosystem services into decision-making. To facilitate clearer comparison among recent studies, we provide a synthesis of common terminology and explain a rationale and framework for distinguishing among the components of ecosystem service delivery, including: an ecosystem's capacity to produce services; ecological pressures that interfere with an ecosystem's ability to provide the service; societal demand for the service; and flow of the service to people. We discuss how interpretation and measurement of these four components can differ among provisioning, regulating, and cultural services. Our flexible framework treats service capacity, ecological pressure, demand, and flow as separate but interactive entities to improve our ability to evaluate the sustainability of service provision and to help guide management decisions. We consider ecosystem service provision to be sustainable when demand is met without decreasing capacity for future provision of that service or causing undesirable declines in other services. When ecosystem service demand exceeds ecosystem capacity to provide services, society can choose to enhance natural capacity, decrease demand and/or ecological pressure, or invest in a technological substitute. Because regulating services are frequently overlooked in environmental assessments, we provide a more detailed examination of regulating services and propose a novel method for quantifying the flow of regulating services based on estimates of ecological work. We anticipate that our synthesis and framework will reduce inconsistency and facilitate coherence across analyses of ecosystem services, thereby increasing their utility in environmental decision-making. (C) 2013 Elsevier B.V. All rights reserved.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1430,"Delgado, Luisa E.; Belen Sepulveda, Ma.; Marin, Victor H.","Provision of ecosystem services by the Aysen watershed, Chilean Patagonia, to rural households",ECOSYSTEM SERVICES,"How much do ecosystems contribute to the wellbeing of rural populations in developing nations? In this article we provide an answer to this question through an eco-social study of two provisioning ecosystem services (wood from native forest and clean water) of the Aysen watershed in northern Chilean Patagonia. Social data was gathered by means of a semi-structured survey to rural households while ecological data was obtained from the available literature and Chilean Government databases. Results show that provisioning ecosystem services contribute, on average, 148 USD per month (range: 155-345 USD) to the livelihood of rural households. We discuss the potential effect of rural wood exploitation on native forest coverage and the role of uncertainties in the available information. (C) 2013 Elsevier B.V. All rights reserved.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1431,"McPhearson, Timon; Kremer, Peleg; Hamstead, Zoe A.",Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,ECOSYSTEM SERVICES,"As urbanization expands city planners and policymakers need to consider how ecological resources can be strategically developed and managed sustainably to meet the needs of urban populations. The ecosystem services (ES) approach provides a useful framework for assessing the status quo, setting goals, identifying benchmarks and prioritizing approaches to improving ecological functioning for urban sustainability and resilience. However, new tools are required for comprehensively evaluating urban ES for ecosystem management and to understand how local and regional trends and plans may affect ES provisioning. We develop an ES assessment methodology that can be used to assess multiple ES of urban green space and integrate them with social conditions in urban neighborhoods. Our approach considers social-ecological conditions and their spatial patterns across the urban landscape. Our analysis focuses on vacant land in New York City. Results suggest that a combined social-ecological approach to ES assessment yields new tools for monitoring and stacking ES. We find that clusters of vacant lots in areas with overlapping low ecological value (e.g. low concentration of green space) and high social need for ES (e.g. high population density) are primarily concentrated in three areas of the city - East Harlem, South Bronx and Central Brooklyn. (C) 2013 Elsevier B.V. All rights reserved.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1432,"Pan, Ying; Xu, Zengrang; Wu, Junxi",Spatial differences of the supply of multiple ecosystem services and the environmental and land use factors affecting them,ECOSYSTEM SERVICES,"A practical knowledge of the amount or supply level of multiple ecosystem services is the key prerequisite for enhancing local ecological stability and securing the well-being of humanity. We studied the supplies of four ecosystem services: grain provisioning, meat provisioning, water conservation, and soil retention at the county level in the Jinghe watershed in northwestern China. The spatial differences of the supply of four ecosystem services were studied using two indices, the Total Ecosystem Services (TES) and Trade-Offs (TO) indices. Then, the environmental and land use factors affecting the spatial differences were also analyzed. The results show that large spatial differences exist in the supplies of multiple ecosystem services, in which the TES and TO indices varied by as much as six and 12 times from one area to another, respectively. Precipitation was the primary constraint on the total supply of multiple ecosystem services. However, environmental factors had little impact on the ecosystem service tradeoffs, although the type of land use had significant impacts. An increase in the spatial extent of grassland area resulted in reduced trade-offs and enhanced the supply of multiple ecosystem services. A spatial increase in farmland had opposite effects. This case study provides a new perspective on identifying where and how to enhance multiple ecosystem services. (C) 2013 Elsevier B.V. All rights reserved.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1433,"Caplat, P.; Cheptou, P. -O.; Diez, J.; Guisan, A.; Larson, B. M. H.; Macdougall, A. S.; Peltzer, D. A.; Richardson, D. M.; Shea, K.; van Kleunen, M.; Zhang, R.; Buckley, Y. M.","Movement, impacts and management of plant distributions in response to climate change: insights from invasions",OIKOS,"Synthesis Prediction and management of species responses to climate change is an urgent but relatively young research field. Therefore, climate change ecology must by necessity borrow from other fields. Invasion ecology is particularly well-suited to informing climate change ecology because both invasion ecology and climate change ecology address the trajectories of rapidly changing novel systems. Here we outline the broad range of active research questions in climate change ecology where research from invasion ecology can stimulate advances. We present ideas for how concepts, case-studies and methodology from invasion ecology can be adapted to improve prediction and management of species responses to climate change. A major challenge in this era of rapid climate change is to predict changes in species distributions and their impacts on ecosystems, and, if necessary, to recommend management strategies for maintenance of biodiversity or ecosystem services. Biological invasions, studied in most biomes of the world, can provide useful analogs for some of the ecological consequences of species distribution shifts in response to climate change. Invasions illustrate the adaptive and interactive responses that can occur when species are confronted with new environmental conditions. Invasion ecology complements climate change research and provides insights into the following questions: 1) how will species distributions respond to climate change? 2) how will species movement affect recipient ecosystems? And 3) should we, and if so how can we, manage species and ecosystems in the face of climate change? Invasion ecology demonstrates that a trait-based approach can help to predict spread speeds and impacts on ecosystems, and has the potential to predict climate change impacts on species ranges and recipient ecosystems. However, there is a need to analyse traits in the context of life-history and demography, the stage in the colonisation process (e.g. spread, establishment or impact), the distribution of suitable habitats in the landscape, and the novel abiotic and biotic conditions under which those traits are expressed. As is the case with climate change, invasion ecology is embedded within complex societal goals. Both disciplines converge on similar questions of when to intervene? and what to do? which call for a better understanding of the ecological processes and social values associated with changing ecosystems.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1434,"Polley, H. Wayne; Briske, David D.; Morgan, Jack A.; Wolter, Klaus; Bailey, Derek W.; Brown, Joel R.","Climate Change and North American Rangelands: Trends, Projections, and Implications",RANGELAND ECOLOGY & MANAGEMENT,"The amplified ""greenhouse effect"" associated with increasing concentrations of greenhouse gases has increased atmospheric temperature by 1 degrees C since industrialization (around 1750), and it is anticipated to cause an additional 2 degrees C increase by midcentury. Increased biospheric warming is also projected to modify the amount and distribution of annual precipitation and increase the occurrence of both drought and heat waves. The ecological consequences of climate change will vary substantially among ecoregions because of regional differences in antecedent environmental conditions; the rate and magnitude of change in the primary climate change drivers, including elevated carbon dioxide (CO2), warming and precipitation modification; and nonadditive effects among climate drivers. Elevated atmospheric CO2 will directly stimulate plant growth and reduce negative effects of drying in a warmer climate by increasing plant water use efficiency; however, the CO2 effect is mediated by environmental conditions, especially soil water availability. Warming and drying are anticipated to reduce soil water availability, net primary productivity, and other ecosystem processes in the southern Great Plains, the Southwest, and northern Mexico, but warmer and generally wetter conditions will likely enhance these processes in the northern Plains and southern Canada. The Northwest will warm considerably, but annual precipitation is projected to change little despite a large decrease in summer precipitation. Reduced winter snowpack and earlier snowmelt will affect hydrology and riparian systems in the Northwest. Specific consequences of climate change will be numerous and varied and include modifications to forage quantity and quality and livestock production systems, soil C content, fire regimes, livestock metabolism, and plant community composition and species distributions, including range contraction and expansion of invasive species. Recent trends and model projections indicate continued directional change and increasing variability in climate that will substantially affect the provision of ecosystem services on North American rangelands.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1435,"Benito-Garzon, Marta; Minh Ha-Duong; Frascaria-Lacoste, Nathalie; Fernandez-Manjarres, Juan","Habitat Restoration and Climate Change: Dealing with Climate Variability, Incomplete Data, and Management Decisions with Tree Translocations",RESTORATION ECOLOGY,"Restoration programs need to increasingly address both the restitution of biodiversity and ecosystem services and the preparation of habitats for future climate change. One option to adapt habitats to climate change in the temperate zone is the translocation of southern populations to compensate for climate change effectsan option known as assisted migration (AM). Although AM is widely criticized for endangered species, forest managers are more confident that tree populations can be translocated with success because of previous experiences within native ranges. Here, we contend that translocations of tree populations are also subject to uncertainties, and we extract lessons for future programs of AM within species ranges from a well-documented failed case of population translocation of Pinus pinaster Ait. in Europe. The failure of these translocations originated from the unawareness of several unpredictable ecological and social events: cryptic maladaptation of the introduced populations, underestimation of climate variability differences between the source and target sites, and complexity in the management schemes, postponing decisions that could have been undertaken earlier. Under the no-analog conditions that are expected with climate change, management decisions need to be made with incomplete data, implying that a certain degree of maladaptation should always be expected when restoring plant populations from local or external seed sources.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1436,"Mincey, Sarah K.; Hutten, Miranda; Fischer, Burnell C.; Evans, Tom P.; Stewart, Susan I.; Vogt, Jessica M.",Structuring institutional analysis for urban ecosystems: A key to sustainable urban forest management,URBAN ECOSYSTEMS,"A decline in urban forest structure and function in the United States jeopardizes the current focus on developing sustainable cities. A number of social dilemmas-for example, free-rider problems-restrict the sustainable production of ecosystem services and the stock of urban trees from which they flow. However, institutions, or the rules, norms, and strategies that affect human decision-making, resolve many such social dilemmas, and thus, institutional analysis is imperative for understanding urban forest management outcomes. Unfortunately, we find that the definition of institutions varies greatly across and within disciplines, and conceptual frameworks in urban forest management and urban ecosystems research often embed institutions as minor variables. Given the significance of institutional analysis to understanding sustainable rural resource management, this paper attempts to bring clarity to defining, conceptually framing, and operationally analyzing institutions in urban settings with a specific focus on sustainable urban forest management. We conclude that urban ecologists and urban forest management researchers could benefit from applying a working definition of institutions that uniquely defines rules, norms, and strategies, by recognizing the nested nature of operational, collective choice, and constitutional institutions, and by applying the Institutional Analysis and Development framework for analysis of urban social-ecological systems (SESs). Such work promises to spur the desired policy-based research agenda of urban forestry and urban ecology and provide cross-disciplinary fertilization of institutional analysis between rural SESs and urban ecosystems.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1437,"Moretti, Marco; de Bello, Francesco; Ibanez, Sebastien; Fontana, Simone; Pezzatti, Gianni B.; Dziock, Frank; Rixen, Christian; Lavorel, Sandra",Linking traits between plants and invertebrate herbivores to track functional effects of land-use changes,JOURNAL OF VEGETATION SCIENCE,"Questions: Ecosystem functions and underlying services are strongly influenced by multitrophic relationships, with functional traits playing a central role in structuring them. Which traits and functional metrics mediate the impact of different types of land use on ecosystem function within and across trophic levels? \ Methods: We studied the functional relationships between plants and grasshoppers in sub-alpine grasslands under different management regimes in the Central French Alps. We applied the theoretical multitrophic response-effect framework described by (Journal of Vegetation Science, 24, this issue) to identify key traits linking plants and grasshoppers to biomass production. The linkages between selected plant and grasshopper traits were analysed using community-weighted mean traits (CWM) and functional diversity (FD; Rao's quadratic diversity). Results: Uni-and multivariate models provided evidence about the relative importance of trait linkages within and across trophic levels. We showed that management affected both plant and grasshopper traits and that the interaction between themwas linked to biomass production. While a number ofCWMtraits and FD were involved in the interaction, CWM of leaf dry matter content (LDMC) and grasshopper dry bodymass (GMass) chieflymediated the impact of management change on biomass production. Conclusions: Our study suggests that both trait values of the most abundant species and functional trait variation within and across trophic levels in combination may best explain the impact of land-use changes on ecosystem function. To improve ourmechanistic understanding across trophic levels, a better knowledge of response and effect traits remains a major goal, especially for animal ecologists, while a strong collaboration among disciplines is needed to bridge the existing gaps.",SEP,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1438,"Lopez-Hoffman, Laura; Breshears, David D.; Allen, Craig D.; Miller, Marc L.",Key landscape ecology metrics for assessing climate change adaptation options: rate of change and patchiness of impacts,ECOSPHERE,"Under a changing climate, devising strategies to help stakeholders adapt to alterations to ecosystems and their services is of utmost importance. In western North America, diminished snowpack and river flows are causing relatively gradual, homogeneous (system-wide) changes in ecosystems and services. In addition, increased climate variability is also accelerating the incidence of abrupt and patchy disturbances such as fires, floods and droughts. This paper posits that two key variables often considered in landscape ecology-the rate of change and the degree of patchiness of change-can aid in developing climate change adaptation strategies. We use two examples from the ""borderland'' region of the southwestern United States and northwestern Mexico. In pinon-juniper woodland die-offs that occurred in the southwestern United States during the 2000s, ecosystem services suddenly crashed in some parts of the system while remaining unaffected in other locations. The precise timing and location of die-offs was uncertain. On the other hand, slower, homogeneous change, such as the expected declines in water supply to the Colorado River delta, will likely impact the entire ecosystem, with ecosystem services everywhere in the delta subject to alteration, and all users likely exposed. The rapidity and spatial heterogeneity of faster, patchy climate change exemplified by tree die-off suggests that decision-makers and local stakeholders would be wise to operate under a Rawlsian ""veil of ignorance,'' and implement adaptation strategies that allow ecosystem service users to equitably share the risk of sudden loss of ecosystem services before actual ecosystem changes occur. On the other hand, in the case of slower, homogeneous, system-wide impacts to ecosystem services as exemplified by the Colorado River delta, adaptation strategies can be implemented after the changes begin, but will require a fundamental rethinking of how ecosystems and services are used and valued. In sum, understanding how the rate of change and degree of patchiness of change will constrain adaptive options is a critical consideration in preparing for climate change.",AUG,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1439,"Burrows, Neil; McCaw, Lachlan",Prescribed burning in southwestern Australian forests,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"Prescribed burning is an important but often controversial fire-management tool in fire-prone regions of the world. Here, we explore the complex challenges of prescribing fire for multiple objectives in the eucalypt forests of southwestern Australia, which could be regarded as a model for temperate landscapes elsewhere. Prescribed fire has been used in a coordinated manner to manage fuels in Australia's eucalypt forests since the 1950s and continues to be an important tool for mitigating the impacts of unplanned wildfires on human society and on a broad range of ecosystem services. Prescribed fire is increasingly being used to manage fire regimes at the local and landscape scales to achieve biodiversity outcomes through maintenance of spatial and temporal patterns of post-fire seral stages. The prescribed burning program in southwestern eucalypt forests has been informed by a long-term program of applied research into fire behavior and fire ecology. To remain successful in the future, the prescribed burning program in this region will need to adapt to changing expectations of government and the community, emerging land-use issues, resource limitations, and a drying climate.",1-ago,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1440,"Fung, Tak; Seymour, Robert M.; Johnson, Craig R.",Warning Signals of Regime Shifts as Intrinsic Properties of Endogenous Dynamics,AMERICAN NATURALIST,"Ecosystem dynamics can exhibit large, nonlinear changes after small changes in an environmental parameter that passes a critical threshold. These regime shifts are often associated with loss of biodiversity and ecosystem services. Because critical thresholds for regime shifts are hard to determine with precision, some recent studies have focused on deriving signals from dynamics leading up to the thresholds. Models in these studies depend on using noise terms independent of system parameters and variables to add stochasticity. However, demographic stochasticity, an important source of random variability, arises directly from system dynamics. In this study, a framework is developed for modeling demographic stochasticity in a mechanistic way, incorporating system variables and parameters. This framework is applied to a deterministic, dynamic model of a coral reef benthos. The resulting stochastic model indicates that increasing variance-but not skewness-is consistently found in system dynamics approaching a critical threshold of grazing pressure. Even if the threshold is breached, attraction of transient dynamics by a saddle point provides an opportunity for regime shift reversal by management intervention. These results suggest that early warning signals of regime shifts can arise intrinsically in endogenous dynamics and can be detected without reliance on random environmental forcings.",AUG,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1441,"Shwartz, Assaf; Cheval, Helene; Simon, Laurent; Julliard, Romain",Virtual Garden Computer Program for use in Exploring the Elements of Biodiversity People Want in Cities,CONSERVATION BIOLOGY,"Urban ecology is emerging as an integrative science that explores the interactions of people and biodiversity in cities. Interdisciplinary research requires the creation of new tools that allow the investigation of relations between people and biodiversity. It has been established that access to green spaces or nature benefits city dwellers, but the role of species diversity in providing psychological benefits remains poorly studied. We developed a user-friendly 3-dimensional computer program (Virtual Garden [www.tinyurl.com/3DVirtualGarden]) that allows people to design their own public or private green spaces with 95 biotic and abiotic features. Virtual Garden allows researchers to explore what elements of biodiversity people would like to have in their nearby green spaces while accounting for other functions that people value in urban green spaces. In 2011, 732 participants used our Virtual Garden program to design their ideal small public garden. On average gardens contained 5 different animals, 8 flowers, and 5 woody plant species. Although the mathematical distribution of flower and woody plant richness (i.e., number of species per garden) appeared to be similar to what would be expected by random selection of features, 30% of participants did not place any animal species in their gardens. Among those who placed animals in their gardens, 94% selected colorful species (e.g., ladybug [Coccinella septempunctata], Great Tit [Parus major], and goldfish), 53% selected herptiles or large mammals, and 67% selected non-native species. Older participants with a higher level of education and participants with a greater concern for nature designed gardens with relatively higher species richness and more native species. If cities are to be planned for the mutual benefit of people and biodiversity and to provide people meaningful experiences with urban nature, it is important to investigate people's relations with biodiversity further. Virtual Garden offers a standardized tool with which to explore these relations in different environments, cultures, and countries. It can also be used by stakeholders (e.g., city planners) to consider people's opinions of local design.",AUG,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1442,"Marshall, Nadine A.; Tobin, Renae C.; Marshall, Paul A.; Gooch, Margaret; Hobday, Alistair J.",Social Vulnerability of Marine Resource Users to Extreme Weather Events,ECOSYSTEMS,"Knowledge of vulnerability provides the foundation for developing actions that minimize impacts and supports system views that are particularly desirable. We modified a well-established model to assess and describe the vulnerability of the two major industries dependent on the Great Barrier Reef (GBR) to extreme weather events. The modification entailed distinguishing between the properties that determine exposure, sensitivity, and adaptive capacity for both the ecological and the social components of a natural resource system. We surveyed 145 commercial fishers and 62 tourism operators following a severe tropical cyclone and a major flooding event that extensively affected the region in 2011. Exposure of these industries included direct risk to life and infrastructure and indirect risk from loss of important ecosystem services. Our study found that many commercial fishers and marine-based tourism operators were sensitive to changes in the GBR's condition and limited in their adaptive capacity. However, those with smaller businesses, higher levels of occupational identity, place attachment, formal networks, and strategic approaches also had higher levels of adaptive capacity. These results suggest that resource users with higher sensitivity to change are not necessarily the most vulnerable; sensitivity may be offset by adaptive capacity. That is, while exposure and sensitivity determine the potential impact of a climate-induced change, adaptive capacity may be a major influence on the impacts that eventuate. We empirically show that adaptive capacity is an obvious focus for climate adaptation planning.",AUG,2013,,,,,,,,,,,,,,,,,,,,,,
Laurel,1443,"Besnard, A. G.; La Jeunesse, I.; Pays, O.; Secondi, J.",Topographic wetness index predicts the occurrence of bird species in floodplains,DIVERSITY AND DISTRIBUTIONS,"Aim Selecting informative variables is crucial for species distribution modelling and ecological studies in general. Proxies quantifying water accumulation may have suitable properties because hydromorphy partly determines plant and animal communities. Topographic wetness index (TWI) was developed to locate wetlands but has largely been ignored from ecological studies despite the value of these areas for biodiversity and the ecosystem services they provide. We assessed here the ability of TWI to predict the occurrence of grassland passerines and tested different settings to determine which was the best predictor for our dataset. Location Floodplain meadows in the Loire valley, France, Western Europe. Methods We recorded the occurrence of four grassland passerines on 64 transects in large hay meadow patches. We computed four TWIs based on digital elevation models (DEMs). TWIs compute water accumulation as a function of slope and catchment. We tested two DEM resolutions (50 m and 250 m) and four TWI algorithms to identify which combination yielded the best model fits to our dataset. Results Results depended on the predictor settings and the species considered. TWI predicted the occurrence of the Whinchat, the most specialized species, and the combined occurrence of the others three passerines. One TWI algorithm (SWI) yielded the poorest fit, and we could not determine the best algorithm among the others three. The coarser DEM resolution (250 m pixel size) also yielded better fitting model than the finer resolution (50 m). Main conclusions Topographic wetness index appears as an informative predictor of species occurrence, at least for the Whinchat, and a useful proxy to detect suitable areas for floodplain grassland birds. This family of indices may improve our ability to model the habitat of wetlands species. However, DEM resolution and algorithm should be selected with caution as they may impact the predictive potential of the proxy.",AUG,2013,,,,,,,,,,,,,,,,,,,,,,
